Model,MAE,RMSE,sMAPE(%),wMAPE(%),MAPE_masked(%),R2
NaivePersistence,7.256500899534747,16.94310875962167,13.034273024343987,5.4017489379592,13.984277491995607,0.9889624286368042
DENSE,8.705286108110577,17.538598908248055,18.0412449041796,6.4802265775412815,19.085515982479613,0.9881729312913687
GRU,9.288482857872319,18.835556627863074,17.9455993711662,6.91435901509789,16.16879789388845,0.9863590616787186
CNN_LSTM,10.314583835067161,19.18167062506411,22.18889286837731,7.678189949668092,21.84608735610879,0.9858531357599093
